评分,评价,评论,日期,位置

5,超棒,服务：房间很不错，喜乐方言晓琳小会,2023年12月27日,上海

4,,干净卫生，智能窗帘，智能马桶。服务态度很好，早餐不错，特别是咖啡，是我喜欢的味道。地理位置优越，近步行街，晚上逛街非常方便，附近几个地铁站，去哪里都方便。不远处也有自行车，去得不远可不选择骑行。,2023年8月11日,广东

5,超棒,房间很不错喜乐方言离地铁口近位置好,2023年12月27日,

5,超棒,房间服务好喜乐方言小琳小会位置好离地铁近,2023年12月27日,

5,超棒,方言喜乐小麦小会服务热情满意,2024年1月1日,上海

5,超棒,酒店位置相当不错哦，离商业街和地铁都非常近，去外滩也不远，主要是服务也非常好，方言小姐姐很给力哦，知道我们带着孩子还想多逛逛，主动打电话说推迟到2点退房，谢谢啦,2023年9月2日,湖南

5,超棒,酒店位置很方便，而且节假日溢价不会太高，工作人员都很热情，见面都会打招呼，就在步行街旁边，离外滩也不远，步行可以到！,2023年10月6日,湖北

5,超棒,携程貌似第一次评价，不得不说刚拖着行李来到大厅的时候内心是满意的，当进到房间是有一点失落的，因为认为面积小了些，可当住了一晚发现是那么好，物尽其用，房间虽然没有想象中那么大，毕竟上海寸土寸金，但设施和品质真的值得好评，设计的很合理，个人认为很顺手，我在酒店基本没用过酒店的毛巾，但艺龙我放心用了，一连住了三晚，早餐也很丰富！希望可以一如既往，用心服务，用品质征服每一位客人！,2023年8月3日,上海

5,超棒,服务非常满意，小哥哥小姐姐热情友善，可以免费寄存行李，初三生出游，前台还帮忙打印了作业，房间卫生也很干净，下次还会入住。离南京路，外滩都很近，看完夜景一路逛回来，很不错。,2023年8月24日,上海

5,超棒,"喜乐方言服务满意
设施：好",2023年12月27日,上海

5,超棒,除了电梯间有点逼仄，其他都不错。地理环境没得说，坐在屋里能看到老凤祥和上海中心大厦，观感一流。前台服务也不错，有免费自助洗衣和烘干机。第二条一早就带娃去迪士尼了，作为苏沪杭中转让我们少带了一半的衣服。,2023年8月1日,北京

5,超棒,非常非常满意～服务特别好，方言小姐姐还给了好多小赠品～超级棒^_^下次来出差还会来订的！酒店位置非常好，周围挺多吃的，还都是小店儿吃的也不贵，味道也很棒！,2023年9月8日,上海

5,超棒,地理位置方便，早餐丰富。,2023年12月24日,上海

5,超棒,"环境：还可以
服务：好

设施：还可以",2023年12月6日,上海

5,超棒,"入住当天会提前电话沟通，到了前台，很快就办理入住，有幸还升级了房间，离步行街超级近，窗户都能看到步行街了，外滩，地铁站，城隍庙都不是很远，地理位置挺好的，比预期好，周围很多很多吃的，喝的！赞！
房间干湿分离，感觉厕所有淡淡的檀香味，各方面都很好，服务也很好，有问必答，有外卖还特意帮我放到前台，怕丢了，很仔细。
特别感谢晴天&可乐，做事很认真，帮助了一把，感谢🙏
推荐的一家店",2023年7月27日,广东

5,超棒,"服务好。满意 方言 多米志强 江月服务好
环境：好
设施：好
就在南京路步行街对面，离地铁口近",2023年10月12日,上海

5,超棒,紧邻南京路，紧邻外滩，停车有半价卷，离店赠送了小礼物，房间智能窗帘，有杀菌毛巾柜子，卫生间干湿分离。,2023年10月28日,内蒙古

5,超棒,位置非常靠近南京路步行街，离南京路地铁站也不远，房间安静，性价比很高，推荐入住，感谢前台可乐、多米、方言的热心接待,2023年9月23日,上海

5,超棒,房间很干净，服务人员态度也很好可乐、多米、岚岚、方言，最主要还是离南京路和外滩都很近，几步路就到了。,2023年10月2日,浙江

5,超棒,"设施：很好
卫生：房间服务很不错喜乐方言
服务：好",2023年11月17日,上海

5,超棒,服务热情 酒店环境也不错 位置真的好方便 走到外滩去玩 又去了华莱士吃饭,2023年10月22日,北京

5,超棒,给我们免费升级的房间，位置还不错，从房间望出去的风景也挺好的，虽然中间由于房卡问题出现了点小插曲，不过都给予很好的态度一直在解决，还是满意的,2023年8月25日,浙江

5,超棒,"1位置好 2服务好 3干净卫生
特别感谢提供冰块的两位帅哥和前台的帅哥美女
孩子老婆都很满意
特别喜欢床头灯光窗帘控制开关 简单实用
下次到上海还住这里",2023年8月15日,江苏

5,超棒,"设施：好
卫生：好
环境：好
服务：好
好好好",2023年11月18日,浙江

3,,房间不大，和holiday inn在一起，快捷酒店水平吧，卫生方面要加强。出境前临时找个地方住宿一晚，到二号线地铁口也不算近吧。,2023年9月7日,新西兰

4,,位置优越  在屋里可以看到主街 环境也可以 就是国庆期间可能游客过多 前台办理入住很慢,2023年12月21日,天津

5,超棒,房间干干净净整整齐齐的蛮好.很不错的一家酒店吗，服务员也很热情礼貌.不错很好.推荐大家可以去选择这家酒店的.👍,2023年9月9日,浙江

2.5,,跟朋友约了跨年一起看直播倒数，冲着宣传的手机投屏去的，结果到点了发现不能投屏，喊了工作人员来也搞了半天，直播都结束了才弄好，电视机还不支持安装app，想要的直播依然不能支持，无解，最后在酒店用自己带的iPad看直播，真得很破坏心情,2024年1月1日,上海

4.5,不错,位置不错 出行方便。属于南京路的中段，到人民广场和外滩都很方便。闹中取静，水自由，暑假节假日的价格稍高，也可以理解，最后临走前赠送小礼物。就是水笼头和厕所的声音较大。住了三晚，整体推荐。六七百的价格闭眼订吧,2023年7月4日,上海

5,超棒,第二次入住，非常好,2023年12月10日,上海

5,超棒,房间很不错住的很满意，喜乐，方言，可乐，吖咪,2023年11月10日,上海

5,超棒,姐姐跟姐夫来上海看展，入住时，有埋怨前台小姐的态度不是很好（后来几天有很大的改善）。房间不是很大，但是地段好且干净舒服。连住4天且每天皆送三缶飲料（可樂、雪碧、果汁）。花洒过瘾，毛巾放在消毒柜里。退房时酒店还送了小礼物，夫妻俩快乐的搭机离开。,2023年7月3日,江苏

5,超棒,方言，晴天，陈亿服务很好,2023年11月30日,上海

5,超棒,酒店坐落在人民广场附近，地铁交通特别方便，地铁口到酒店几百米距离，步行几百米到酒店能充分体会到老上海元素，毗邻南京路，百年老楼、老街、弄堂、仿佛走进了民国时期的上海。酒店人员服务周到，比较注重服务细节，价格相对较低，在外滩附近属于性价比很高的酒店！值得推荐！,2023年7月8日,山东

5,超棒,房间不错干净卫生，离南京路步行街很近，小姐姐服务都很好走的时候还送了小朋友玩具！,2023年10月6日,江苏

